Date Range:,8/18/2017 00:00:00 - 10/16/2017 23:59:59

Date,Time,BV104:AIR VOLUME,BIE03P,BIE01:FREQ OUTPUT,BV104:CLG FLOW MIN,BVB17:AIR VOLUME,BIE21P,BH111A:EXH FLOW,BIOAT27,BI1RRT,BVB39:CTL STPT,BIE03C,BI2SAT,BVB02B:CLG FLOW MAX,BV104:CLG FLOW MAX,BIE20C,BV204:CTL FLOW MIN,BI2CCT,BI1CFM,BI3RRT,BIE25P,BIE03:FREQ OUTPUT,BI.LAB.HW.TEMP,BVB02B:CLG FLOW MIN,BI3DSC,BIE19C,BI1VFD:FREQ OUTPUT,BI2HT1,BIE01P,BI3SAC,BI1CCT,BV204:CTL FLOW MAX,BI3SAT,BVB02B:CTL TEMP,BV204:AIR VOLUME,BIE20P,BI2RRT,BI1HRT,BI2HT2,BV204:CLG FLOW MAX,BV108A:CLG FLOW MIN,BV108A:CLG FLOW MAX,BVB39:CTL TEMP,BI2CFM,BI2DSP,BIE01C,BIA2VFD:FREQ OUTPUT,BI1DSP,BI2HRT,BIHRRT,BIE23P,BV108A:CTL TEMP,BIE20:FREQ OUTPUT,BH111A:FLOW HI STPT,BI1RRC,BV104:CTL FLOW MIN,BI2RRC,BV108A:AIR VOLUME,BH111A:FLOW LO STPT,BI3HT2,BI2HRC,BI3RRC,BH111A:FLOW STPT,BI3HT1,BI1SAT,BVB39:AIR VOLUME,BIHRST,BI1DSC,BIE21C,BVB02B:CTL STPT,BI1HMC,BV104:CTL TEMP,BV108A:CTL STPT,BV104:CTL STPT,BV204:CLG FLOW MIN,BI2PHT,BIE19P,BV104:CTL FLOW MAX,BI2SAC,BI3DSP,BI1SAC,BI3HRT,BI2DSC,BV204:CTL STPT,BV204:CTL TEMP,BIE25C,BI1OCC,BIE19:FREQ OUTPUT,BVB17:CTL STPT
8/18/2017,00:00:00,150.82,51.26,8025.61,1.50,1.50,35.00,65.67,ON,32.00,83.67,55.00,55.88,52.8,82.31,81.80,64.80,2200,220,70.00,71.50,512,75.50,264,79.50,74.25,52.86,16692.79,1.50,1.50,55.00,65.24,67.57,65.36,66.03,32.00,84.93,55.00,55.09,43.3,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,66.72,67.34,65.70,32.00,83.39,55.00,54.91,57.4,1.20,1.22,33.7,1.20,1.20,41.2,1.25,1.24,33.1,1.20,1.21,1.20,1.24,2.00,1.53,0,288,88,288,0,80.00,74.00,4,308,0,78.00,69.00,0,288,84,288,0,80.00,72.00
8/18/2017,00:15:00,149.42,51.16,8098.96,1.50,1.50,35.00,65.49,ON,32.00,83.64,55.00,55.77,52.8,82.34,81.80,64.60,2200,220,70.00,71.00,516,75.50,264,79.50,74.25,52.57,16560.96,1.50,1.50,55.00,65.03,67.14,65.11,66.03,32.00,84.90,55.00,54.87,43.3,1.19,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,66.54,67.19,65.55,32.00,83.35,55.00,54.91,57.4,1.20,1.19,33.7,1.20,1.21,41.1,1.25,1.29,33.0,1.20,1.18,1.20,1.20,2.00,1.52,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,72.00
8/18/2017,00:30:00,150.36,51.06,8002.91,1.50,1.50,35.00,65.39,ON,32.00,83.60,55.00,55.70,52.8,82.31,81.80,64.17,2200,220,70.00,71.00,512,75.50,264,79.50,74.00,52.86,16857.54,1.50,1.52,55.00,64.85,66.92,64.82,65.85,32.00,84.90,55.00,55.13,43.3,1.19,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.20,66.43,67.01,65.41,32.00,83.39,55.00,55.05,57.4,1.20,1.20,33.7,1.20,1.19,40.8,1.25,1.24,33.0,1.20,1.21,1.20,1.25,2.00,1.53,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,4,288,84,288,0,80.00,72.00
8/18/2017,00:45:00,150.66,50.90,8002.91,1.50,1.49,35.00,64.95,ON,32.00,83.60,55.00,55.52,52.6,82.34,81.84,63.23,2200,220,70.00,72.25,512,75.50,268,79.50,74.00,52.57,16253.12,1.50,1.50,55.00,64.38,66.53,64.72,65.28,32.00,84.90,55.00,54.84,43.3,1.20,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,66.00,66.65,65.01,32.00,83.35,55.00,54.91,57.4,1.20,1.20,33.7,1.20,1.19,40.5,1.25,1.23,33.1,1.20,1.22,1.20,1.23,2.00,1.55,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,0,288,84,288,0,80.00,72.00
8/18/2017,01:00:00,148.75,50.89,8007.65,1.50,1.51,35.00,64.49,ON,32.00,83.57,55.00,55.52,52.8,82.31,81.80,62.94,2200,220,70.00,71.50,516,75.50,264,79.50,74.00,52.93,16485.98,1.50,1.51,55.00,63.73,66.13,63.96,64.88,32.00,84.97,55.00,55.09,43.3,1.19,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.20,65.46,66.11,64.51,32.00,83.31,55.00,55.05,57.4,1.20,1.19,33.7,1.20,1.20,40.5,1.25,1.22,33.1,1.20,1.22,1.20,1.18,2.00,1.50,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,0,288,84,288,0,80.00,72.00
8/18/2017,01:15:00,151.03,50.83,8083.97,1.50,1.49,35.00,64.05,ON,32.00,83.57,55.00,55.45,52.8,82.31,81.80,63.23,2200,220,70.00,70.75,512,75.50,264,79.50,74.00,52.28,16212.02,1.50,1.50,55.00,63.51,65.63,63.82,64.49,32.00,84.83,55.00,54.80,43.2,1.21,1649.117554,1727.646973,596.823486,1727.646973,1.20,1.19,65.03,65.68,64.08,32.00,83.35,55.00,55.05,57.4,1.20,1.20,33.7,1.20,1.20,40.5,1.25,1.25,33.1,1.20,1.22,1.20,1.24,2.00,1.51,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,4,288,84,288,0,80.00,72.00
8/18/2017,01:30:00,149.39,50.79,8039.77,1.50,1.50,35.00,63.84,ON,32.00,83.49,55.00,55.45,52.8,82.27,81.77,63.23,2200,220,70.00,71.00,516,75.50,264,79.50,74.00,52.53,16532.16,1.50,1.50,55.00,63.19,65.48,63.49,64.38,32.00,84.90,55.00,54.84,43.2,1.21,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,64.88,65.46,63.90,32.00,83.28,55.00,55.05,57.4,1.20,1.20,33.7,1.20,1.20,40.5,1.25,1.24,33.1,1.20,1.18,1.20,1.19,2.00,1.50,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,4,288,84,288,0,80.00,72.00
8/18/2017,01:45:00,150.30,50.79,8035.05,1.50,1.50,35.00,63.69,ON,32.00,83.49,55.00,55.41,52.8,82.31,81.77,63.18,2200,220,70.00,71.50,512,75.50,264,79.50,74.00,52.61,16480.21,1.50,1.50,55.00,63.19,65.30,63.56,64.23,32.00,84.83,55.00,55.09,43.2,1.20,1570.588135,1727.646973,596.823486,1727.646973,1.20,1.19,64.74,65.39,63.75,32.00,83.28,55.00,54.98,57.4,1.20,1.21,33.7,1.20,1.19,40.6,1.25,1.25,33.1,1.20,1.24,1.20,1.21,2.00,1.54,0,288,88,288,0,80.00,74.00,4,308,0,78.00,68.75,0,288,84,288,0,80.00,72.00
8/18/2017,02:00:00,150.58,50.84,7923.89,1.50,1.51,35.00,63.33,ON,32.00,83.46,55.00,55.49,52.8,82.31,81.80,63.05,2200,220,70.00,72.50,512,75.50,264,79.50,74.00,52.64,16572.47,1.50,1.50,55.00,62.87,65.12,63.13,63.69,32.00,84.86,55.00,55.16,43.2,1.18,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,64.45,65.10,63.50,32.00,83.28,55.00,54.91,57.4,1.20,1.20,33.7,1.20,1.20,41.4,1.25,1.23,33.0,1.20,1.21,1.20,1.25,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,02:15:00,148.83,50.85,8075.52,1.50,1.50,35.00,63.41,ON,32.00,83.42,55.00,55.49,52.8,82.27,81.77,62.53,2200,220,70.00,72.00,512,75.50,264,79.50,73.75,52.50,16369.96,1.50,1.50,55.00,63.01,65.12,63.31,64.05,32.00,84.83,55.00,54.80,43.2,1.20,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.20,64.74,65.36,63.68,32.00,83.28,55.00,54.98,57.4,1.20,1.20,33.7,1.20,1.20,41.4,1.25,1.26,33.0,1.20,1.21,1.20,1.19,2.00,1.55,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.75
