Facility,Gould Library,Gould Library,Gould Library,Hulings Hall,Hulings Hall,Hulings Hall,Hulings Hall,Language & Dining Center,Language & Dining Center,Olin Hall,Olin Hall,Olin Hall,Olin Hall,Recreation Center,Recreation Center,Recreation Center,Recreation Center,Sayles-Hill Campus Center,Sayles-Hill Campus Center,Sayles-Hill Campus Center
Meter name,Gould Library - Electricity,Gould Library - Steam,Gould Library - Water,Hulings Hall - Electricity,Hulings Hall - Steam,Hulings Hall - Steam Condensate,Hulings Hall - Water,LDC - Electricity,LDC - Steam Condensate,Olin Hall  - Steam Condensate,Olin Hall - Electricity,Olin Hall - Steam,Olin Hall - Water,Recreation Center - Electricity,Recreation Center - Steam (new),Recreation Center - Steam (Old Meter),Recreation Center - Water,Sayles-Hill Campus Center - Electricity,Sayles-Hill Campus Center - Steam,Sayles-Hill Campus Center - Water
Meter id,carleton_gould_en_use,carleton_gould_steam_use,carleton_gould_water_use,carleton_hulings_en_use,carleton_hulings_steam_use,carleton_hulings_heating_submeter_hulingshallsteamcondensate,carleton_hulings_water_use,carleton_language_dining_electricity_wholebuilding_ldcelectricity,carleton_language_dining_heating_wholebuilding_ldcsteamcondensate,carleton_olin_heating_submeter_leightonhallsteamcondensate,carleton_olin_en_use,carleton_olin_steam_use,carleton_olin_water_use,carleton_reccenter_en_use,carleton_rec_center_heating_submeter_reccondmeter,carleton_reccenter_steam_flow,carleton_reccenter_water_use,carleton_sayles_en_use,carleton_sayles_steam_use,carleton_sayles_water_use
,,,,,,,,,,,,,,,,,,,,
Timestamp,Gould Library - Gould Library - Electricity (kWh),Gould Library - Gould Library - Steam (kBTU),Gould Library - Gould Library - Water (gal),Hulings Hall - Hulings Hall - Electricity (kWh),Hulings Hall - Hulings Hall - Steam (kBTU),Hulings Hall - Hulings Hall - Steam Condensate (kBTU),Hulings Hall - Hulings Hall - Water (gal),Language & Dining Center - LDC - Electricity (kWh),Language & Dining Center - LDC - Steam Condensate (kBTU),Olin Hall - Olin Hall  - Steam Condensate (kBTU),Olin Hall - Olin Hall - Electricity (kWh),Olin Hall - Olin Hall - Steam (kBTU),Olin Hall - Olin Hall - Water (gal),Recreation Center - Recreation Center - Electricity (kWh),Recreation Center - Recreation Center - Steam (new) (kBTU),Recreation Center - Recreation Center - Steam (Old Meter) (kBTU),Recreation Center - Recreation Center - Water (gal),Sayles-Hill Campus Center - Sayles-Hill Campus Center - Electricity (kWh),Sayles-Hill Campus Center - Sayles-Hill Campus Center - Steam (kBTU),Sayles-Hill Campus Center - Sayles-Hill Campus Center - Water (gal)
10/16/16 00:00,20,,0,2.125,,243.25734,20,5.25,0,162.17156,15,,0,9,243.25734,,0,14,,30
10/16/16 00:15,17,0.04005,0,1.375,72.04066,0,20,4.87,0,0,13.5,0.05006,0,9.75,729.77203,,1,13,0.01001,30
10/16/16 00:30,14,0.04005,0,1.5,72.04066,324.34312,30,5.07,0,162.17156,15,0.04005,1,8.25,243.25734,,0,13,0,40
10/16/16 00:45,15,0.03004,0,2.125,72.08071,243.25734,20,5.06,81.08578,81.08578,13.5,0.05006,0,7.5,810.85781,,0,12,0.01001,20
10/16/16 01:00,14,0.05006,0,2.25,72.05067,81.08578,30,5.06,0,0,12,0.07009,0,7.5,891.94359,,0,12,0.01001,70
10/16/16 01:15,11,0.04005,0,1.375,88.42127,0,20,4.88,0,162.17156,12,0.07009,1,7.5,324.34312,,0,11,0,30
10/16/16 01:30,8,0.04005,0,2.25,75.31478,243.25734,20,5.06,0,0,12,0.05006,0,7.5,891.94359,,0,11,0.01001,20
10/16/16 01:45,7,0.04005,0,1.375,75.32479,324.34312,20,4.87,0,81.08578,12,0.06008,1,7.5,324.34312,,1,11,0.01001,20
10/16/16 02:00,7,0.05006,0,1.5,75.32479,0,20,5.07,0,0,9,0.10013,0,7.5,729.77203,,0,12,0,0
10/16/16 02:15,8,0.04005,0,1.375,107.5954,324.34312,30,5.25,0,162.17156,10.5,0.07009,0,7.5,891.94359,,0,9,0.56071,20
10/16/16 02:30,7,0.04005,0,2.25,78.89929,0,20,5.06,162.17156,81.08578,9,0.07009,0,7.5,324.34312,,1,10,0.04005,10
10/16/16 02:45,7,0.04005,0,1.375,78.89929,243.25734,20,5.06,81.08578,0,10.5,0.07009,0,7.5,810.85781,,0,9,0,0
10/16/16 03:00,7,0.07009,0,2.25,78.91931,0,20,4.88,0,162.17156,9,0.10013,1,7.5,729.77203,,0,8,0.01001,10
10/16/16 03:15,7,0.04005,0,1.375,130.18383,324.34312,20,5.62,0,0,10.5,0.0801,0,7.5,243.25734,,0,10,0,0
10/16/16 03:30,7,0.04005,0,1.5,82.84425,324.34312,20,5.25,0,162.17156,9,0.07009,0,6.75,243.25734,,0,9,0.04005,10
10/16/16 03:45,8,0.05006,0,2.125,82.85426,0,20,5.44,0,81.08578,10.5,0.07009,9,7.5,648.68625,,0,9,0,0
10/16/16 04:00,8,0.07009,0,1.5,82.86428,243.25734,20,5.44,0,0,9,0.12015,12,7.5,729.77203,,0,10,0.01001,0
10/16/16 04:15,7,0.05006,0,1.375,156.97754,0,20,5.06,0,162.17156,10.5,0.07009,13,7.5,324.34312,,0,8,0.54068,10
10/16/16 04:30,7,0.04005,0,2.25,87.20974,324.34312,20,4.87,0,0,9,0.0801,4,7.5,891.94359,,0,9,0.07009,0
10/16/16 04:45,8,0.05006,0,0.625,87.21976,0,30,5.07,0,81.08578,10.5,0.0801,1,6.75,810.85781,,0,9,0.01001,10
10/16/16 05:00,7,0.09011,0,1.5,87.20974,243.25734,20,5.06,0,162.17156,9,0.15019,0,7.5,324.34312,,0,9,0.01001,0
10/16/16 05:15,7,0.05006,0,2.125,188.95779,324.34312,20,5.44,0,0,10.5,0.0801,0,6.75,891.94359,,0,10,0,10
10/16/16 05:30,7,0.05006,0,1.5,92.06586,0,20,5.62,0,81.08578,9,0.0801,0,7.5,891.94359,,0,9,0.0801,30
10/16/16 05:45,7,0.04005,0,1.375,92.06586,324.34312,20,5.63,0,0,10.5,0.0801,0,7.5,243.25734,,0,10,0.01001,10
10/16/16 06:00,7,0.12015,0,2.25,92.03582,243.25734,20,5.62,162.17156,162.17156,9,0.19024,0,6.75,810.85781,,1,10,0.01001,0
10/16/16 06:15,7,0.05006,0,1.375,227.41619,81.08578,30,5.81,243.25734,81.08578,10.5,0.0801,1,7.5,324.34312,,0,10,0,10
10/16/16 06:30,8,0.05006,0,2.25,97.46265,243.25734,20,5.25,0,0,10.5,0.0801,0,7.5,729.77203,,0,10,0.10013,0
10/16/16 06:45,7,0.05006,0,1.375,97.45264,0,20,5.82,162.17156,162.17156,9,0.0801,0,7.5,810.85781,,0,11,0,10
10/16/16 07:00,12,0.13017,0,1.5,97.45264,324.34312,20,5.62,162.17156,162.17156,10.5,0.21027,11,8.25,324.34312,,0,9,0.01001,0
10/16/16 07:15,14,0.05006,0,2.125,278.83089,324.34312,20,6.19,162.17156,0,10.5,0.0801,0,9.75,891.94359,,0,11,0.01001,20
10/16/16 07:30,17,0.06008,10,1.375,103.56032,0,30,5.81,0,81.08578,10.5,0.07009,0,9.75,243.25734,,0,10,0.10013,0
10/16/16 07:45,17,0.05006,0,2.25,103.56032,243.25734,20,6.38,81.08578,162.17156,9,0.07009,2,7.5,729.77203,,0,10,0.01001,10
10/16/16 08:00,17,0.1602,0,1.375,103.57034,324.34312,20,7.5,162.17156,0,10.5,0.2403,23,6.75,648.68625,,0,10,0.01001,0
10/16/16 08:15,18,0.05006,0,1.5,331.70743,0,30,7.68,162.17156,81.08578,10.5,0.0801,1,6.75,324.34312,,0,10,0,10
10/16/16 08:30,18,0.06008,0,2.125,110.48904,324.34312,20,8.82,162.17156,162.17156,12,0.0801,11,6.75,810.85781,,1,10,0.12015,0
10/16/16 08:45,17,0.06008,0,2.25,110.49905,243.25734,20,8.25,162.17156,0,10.5,0.09011,0,6.75,324.34312,,0,12,0,10
10/16/16 09:00,17,0.19024,0,1.375,110.44899,0,30,8.62,0,81.08578,10.5,0.30038,0,6,891.94359,,0,12,0.01001,10
10/16/16 09:15,16,0.06008,0,2.125,402.82692,324.34312,20,10.13,405.4289,162.17156,15,0.09011,1,11.25,243.25734,,0,13,0,0
10/16/16 09:30,17,0.06008,0,2.25,118.35895,0,20,10.12,81.08578,0,13.5,0.09011,0,10.5,810.85781,,0,12,0.14018,10
10/16/16 09:45,19,0.06008,0,2.125,118.37897,243.25734,40,10.31,0,81.08578,13.5,0.10013,1,11.25,729.77203,,0,11,0,20
10/16/16 10:00,18,0.23029,0,2.25,118.34893,0,30,9.75,486.51469,0,13.5,0.37046,1,19.5,324.34312,,20,12,0.01001,20
10/16/16 10:15,21,0.07009,0,2.125,492.05921,0,30,9.94,162.17156,162.17156,13.5,0.10013,0,21,1378.45828,,49,12,0,20
10/16/16 10:30,20,0.06008,10,2.25,127.53048,324.34312,30,10.13,243.25734,162.17156,13.5,0.10013,1,20.25,243.25734,,153,13,0.1602,10
10/16/16 10:45,20,0.07009,0,1.375,127.50045,0,30,9.56,405.4289,0,13.5,0.12015,12,21,1054.11515,,27,12,0,50
10/16/16 11:00,20,0.28035,10,2.25,127.45038,324.34312,30,9.56,0,81.08578,13.5,0.46058,33,20.25,810.85781,,23,13,0.01001,10
10/16/16 11:15,20,0.07009,10,2.125,605.96255,0,30,9.19,162.17156,0,13.5,0.12015,12,20.25,891.94359,,66,13,0,20
10/16/16 11:30,20,0.07009,10,1.375,138.10379,243.25734,30,10.12,81.08578,162.17156,13.5,0.12015,3,21,891.94359,,47,13,0.18023,20
10/16/16 11:45,21,0.07009,10,2.25,138.10379,0,20,10.88,0,81.08578,13.5,0.10013,1,21.75,810.85781,,155,15,0.01001,30
10/16/16 12:00,20,0.35044,10,1.375,138.08377,324.34312,30,11.44,405.4289,0,13.5,0.54068,0,21,891.94359,,39,14,0.01001,30
10/16/16 12:15,21,0.07009,20,2.25,753.75854,0,30,11.81,486.51469,162.17156,13.5,0.09011,0,21,891.94359,,6,15,0,80
